Quantity,UnitPrice,ItemsInCart,TotalPrice,Target,Year,Month,Day,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,CouponCode_SAVE10,CouponCode_WINTER15,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral
5,550.68,8,2753.4,1.0,2024,2,27,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,626.01,8,2504.04,0.0,2025,5,8,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
2,134.28,2,268.56,1.0,2025,4,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,473.96,3,473.96,0.0,2023,7,17,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
4,342.95,6,1371.8,0.0,2024,11,17,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
4,273.25,5,1093.0,1.0,2025,4,9,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2,230.95,3,461.9,0.0,2024,10,30,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True
1,399.98,3,399.98,0.0,2024,7,24,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
5,59.55,6,297.75,0.0,2024,3,6,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
3,423.53,6,1270.59,0.0,2024,9,20,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
5,536.72,10,2683.6,0.0,2023,5,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,162.77,4,162.77,1.0,2023,6,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
